Event Date,Rank,Player,G Level,Score,Target,Gap,Target Status
2026-06-07,1,DaveyG,G9,318041096,80000000,238041096,Met Target
2026-06-07,2,Harp,G9,296512226,80000000,216512226,Met Target
2026-06-07,3,Niien,G9,134916253,80000000,54916253,Met Target
2026-06-07,4,Dionisea,G8,127713597,36000000,91713597,Met Target
2026-06-07,5,San Diego,G9,123476735,80000000,43476735,Met Target
2026-06-07,6,Finda,G9,117937719,80000000,37937719,Met Target
2026-06-07,7,Ronin,G8,95277729,36000000,59277729,Met Target
2026-06-07,8,Legionário,Unknown,90885800,36000000,54885800,Met Target
2026-06-07,9,Daanil,G9,90184601,80000000,10184601,Met Target
2026-06-07,10,Memento Mori,G9,81181315,80000000,1181315,Met Target
2026-06-07,11,McAsako,G9,81102971,80000000,1102971,Met Target
2026-06-07,12,McQueen,G8,72224551,36000000,36224551,Met Target
2026-06-07,13,MC Sirari,G8,67926915,36000000,31926915,Met Target
2026-06-07,14,McNan,G8,67345468,36000000,31345468,Met Target
2026-06-07,15,Stinkeye Syd,G8,61358723,36000000,25358723,Met Target
2026-06-07,16,jvpix dot com,G8,61074713,36000000,25074713,Met Target
2026-06-07,17,McOtrebor,G8,60505426,36000000,24505426,Met Target
2026-06-07,18,McBomb,G8,58392696,36000000,22392696,Met Target
2026-06-07,19,McProtheus,G8,56793215,36000000,20793215,Met Target
2026-06-07,20,Dracarys,G8,52485551,36000000,16485551,Met Target
2026-06-07,21,Kazmikaze,G9,52117022,80000000,-27882978,Below Target
2026-06-07,22,MC FIL,G8,51669395,36000000,15669395,Met Target
2026-06-07,23,Paradox,G8,49574411,36000000,13574411,Met Target
2026-06-07,24,McGlekil,G8,49365701,36000000,13365701,Met Target
2026-06-07,25,Meg,G8,45873648,36000000,9873648,Met Target
2026-06-07,26,Grendal,G8,45419898,36000000,9419898,Met Target
2026-06-07,27,McMASIDA,G8,44569499,36000000,8569499,Met Target
2026-06-07,28,Mc三千尺,Unknown,43869158,36000000,7869158,Met Target
2026-06-07,29,McLulu,G8,42957210,36000000,6957210,Met Target
2026-06-07,30,Funving 2,G8,42795394,36000000,6795394,Met Target
2026-06-07,31,John Wick Jr,G8,42014679,36000000,6014679,Met Target
2026-06-07,32,Sayeed,G9,41458771,80000000,-38541229,Below Target
2026-06-07,33,ZEYNA,G9,40935293,80000000,-39064707,Below Target
2026-06-07,34,McHadrian,G8,40597752,36000000,4597752,Met Target
2026-06-07,35,Anfir,G7,39936077,36000000,3936077,Met Target
2026-06-07,36,Mc Circus Kid,G8,39889343,36000000,3889343,Met Target
2026-06-07,37,Gannicus,G8,38525814,36000000,2525814,Met Target
2026-06-07,38,McActualPlayer,G8,38519407,36000000,2519407,Met Target
2026-06-07,39,Turin,G8,38509946,36000000,2509946,Met Target
2026-06-07,40,McAslan,G8,38378430,36000000,2378430,Met Target
2026-06-07,41,McFenrir,G8,37737182,36000000,1737182,Met Target
2026-06-07,42,McChief,G8,37480377,36000000,1480377,Met Target
2026-06-07,43,Elginan,G8,36561117,36000000,561117,Met Target
2026-06-07,44,Dalas,G8,36362245,36000000,362245,Met Target
2026-06-07,45,Aurora,G8,35599609,36000000,-400391,Below Target
2026-06-07,46,Naked Theo,G8,34982322,36000000,-1017678,Below Target
2026-06-07,47,Rebenck,G8,33903220,36000000,-2096780,Below Target
2026-06-07,48,McMCA IV,G8,33325344,36000000,-2674656,Below Target
2026-06-07,49,fundaing sk,G8,30908277,36000000,-5091723,Below Target
2026-06-07,50,Harpy,G9,29887020,80000000,-50112980,Below Target
2026-06-07,51,Kulafyn,G8,29669939,36000000,-6330061,Below Target
2026-06-07,52,McTripp Ohnmefrskn,G8,28857964,36000000,-7142036,Below Target
2026-06-07,53,LOC,G7,28656159,36000000,-7343841,Below Target
